Year.Reported.to.CDP,Account.Number,Organization,City,Country,CDP.Region,Reporting.Authority,Access,City.wide.emissions.inventory,Accounting.year,Administrative.city.boundary,Inventory.boundary..compared.to.Administrative.city.boundary.,Primary.Protocol,Primary.Protocol.Comment,Common.Reporting.Framework.inventory.format..GPC.,Gases.Included,Direct.emissions..metric.tonnes.CO2e..for.Total.generation.of.grid.supplied.energy,Direct.emissions..metric.tonnes.CO2e..for.Total.emissions..excluding.generation.of.grid.supplied.energy.,Indirect.emissions.from.use.of.grid.supplied.energy..metric.tonnes.CO2e..for.Total.generation.of.grid.supplied.energy,Indirect.emissions.from.use.of.grid.supplied.energy..metric.tonnes.CO2e..for.Total.Emissions..excluding.generation.of.grid.supplied.energy.,Emissions.occurring.outside.city.boundary..metric.tonnes.CO2e..for.Total.Generation.of.grid.supplied.energy,Emissions.occurring.outside.city.boundary..metric.tonnes.CO2e..for.Total.Emissions..excluding.generation.of.grid.supplied.energy.,TOTAL.Scope.1.Emissions..metric.tonnes.CO2e.,TOTAL.Scope.2.emissions..metric.tonnes.CO2e.,TOTAL.Scope.3.Emissions,TOTAL.BASIC.Emissions..GPC.,TOTAL.BASIC+Emissions..GPC.,Change.in.emissions,Primary.reason.for.the.change.in.emissions,Land.area..in.square.km.,Population,Population.Year,City.Location,Last.update.
2019,53860,"City of Wilmington, NC",Wilmington,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,119045,2017,,2020-05-01T03:57:57.217
2019,840328,Municipalidad San Pedro Carch??,,Guatemala,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,272300,2019,,2020-05-01T03:57:57.217
2019,840918,Prefeitura de Pil?ëes,,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,3838,2019,,2020-05-01T03:57:57.217
2019,840936,Prefeitura de Guanh??es,,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,34319,2019,,2020-05-01T03:57:57.217
2019,43917,Sofia Municipality,Sofia,Bulgaria,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"The inventory covers the following sectors: residential, municipal and tertiary buildings, equipment and facilities; manufacturing industries and construction; agriculture and forestry; fugitive emissionsfrom natural gas systems; road, railroad and aviation transport, waste management and waste water treatment. For each of the sectors identified in the methodology, the available data in the municipality of Sofia has been collected. Additional information from a large number of private and public organizations has also been obtained. The inventory covers all of the 24 districts of Sofia municipality.",No,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,2785108,NA,NA,5124843,NA,Decreased,,NA,1479902,2019,POINT (23.3219 42.6977),2020-05-01T03:57:57.217
2019,74673,??zmir Metropolitan Municipality,,Turkey,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-01-01 - 2014-12-31,NA,Same- covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2, N20",NA,21869346,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,4320519,2018,,2020-05-01T03:57:57.217
2019,58871,"City of Salem, MA",Salem,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,43146,2017,POINT (-70.8967 42.5195),2020-05-01T03:57:57.217
2019,839980,Municipalidad de Avellaneda,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),La metodolog??a utilizada es la sugerida por la Red Argentina de Municipios Contra el Cambio Clim??tico de la cual la ciudad de Avellaneda forma parte.,Yes,"CH4, CO2, N20",521.96,1531934.8,NA,1446.5,NA,55751.8,NA,NA,NA,NA,NA,Do not know,Lack of documentation,NA,30446,2019,,2020-05-01T03:57:57.217
2019,60387,Alcald??ade Sincelejo,Sincelejo,Colombia,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,275207,2015,POINT (-75.3906 9.30457),2020-05-01T03:57:57.217
2019,58796,Odder Kommune,Odder,Denmark,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,22624,2019,POINT (10.15 55.9757),2020-05-01T03:57:57.217
2019,54579,Sekhukhune District Municipality,Sekhukhune District Municipality,South Africa,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability",public,In progress,-,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,1076840,2011,POINT (29.974 -24.8335),2020-05-01T03:57:57.217
2019,52897,City of Aspen,Aspen,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,NA,Larger- covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The inventory is also compliant with the guidelines that are laid out in the U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI).,No,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,186961,82643,35715,305319,NA,Decreased,Other: Electric utility generation mix changes toward renewable energy.,NA,9003,2017,POINT (-106.837 39.195),2020-05-01T03:57:57.217
2019,36410,City of Memphis,Memphis,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,NA,Larger- covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",3633345,10895757,NA,6296158,NA,NA,NA,NA,NA,NA,NA,Increased,Change in accounting methodology,NA,650618,2018,POINT (-90.049 35.1495),2020-05-01T03:57:57.217
