Year.Reported.to.CDP,Account.Number,Organization,City,Country,CDP.Region,Reporting.Authority,Access,City.wide.emissions.inventory,Accounting.year,Administrative.city.boundary,Inventory.boundary..compared.to.Administrative.city.boundary.,Primary.Protocol,Primary.Protocol.Comment,Common.Reporting.Framework.inventory.format..GPC.,Gases.Included,Direct.emissions..metric.tonnes.CO2e..for.Total.generation.of.grid.supplied.energy,Direct.emissions..metric.tonnes.CO2e..for.Total.emissions..excluding.generation.of.grid.supplied.energy.,Indirect.emissions.from.use.of.grid.supplied.energy..metric.tonnes.CO2e..for.Total.generation.of.grid.supplied.energy,Indirect.emissions.from.use.of.grid.supplied.energy..metric.tonnes.CO2e..for.Total.Emissions..excluding.generation.of.grid.supplied.energy.,Emissions.occurring.outside.city.boundary..metric.tonnes.CO2e..for.Total.Generation.of.grid.supplied.energy,Emissions.occurring.outside.city.boundary..metric.tonnes.CO2e..for.Total.Emissions..excluding.generation.of.grid.supplied.energy.,TOTAL.Scope.1.Emissions..metric.tonnes.CO2e.,TOTAL.Scope.2.emissions..metric.tonnes.CO2e.,TOTAL.Scope.3.Emissions,TOTAL.BASIC.Emissions..GPC.,TOTAL.BASIC+Emissions..GPC.,Change.in.emissions,Primary.reason.for.the.change.in.emissions,Land.area..in.square.km.,Population,Population.Year,City.Location,Last.update.
2020,839648,Ayuntamiento Victoria,,Mexico,Latin America,NA,public,Not intending to undertake,,City / Municipality,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1047,19820,2010,,2021-07-16T02:03:37.903
2020,848125,Oreamuno,,Costa Rica,Latin America,NA,public,In progress,2020-01-01 - 2020-12-31,City / Municipality,Same - covers entire city and nothing else,"Other, please specify",Programa Pais Carbono neutral costa rica,,"CH4, CO2, HFCs, N20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,252,49000,2018,,2021-07-16T02:03:37.903
2020,831999,Concejo Municipal de Distrito de Monte Verde,,Costa Rica,Latin America,NA,public,Yes,2016-01-01 - 2016-12-31,Sub-municipal district,Same - covers entire city and nothing else,Regional or country specific methodology,"La metodolog??a utilizada para la medici??n, reporte y verificaci??n de las emisiones, reducciones , remociones y compensaciones de GEI a nivel cantonal para Costa Rica fue elaborado por la Direcci??n de Cambio Clim?≠tico del Ministerio de Ambiente y Energ??a de Costa Rica.",,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",NA,14600.62,NA,NA,NA,1418.96,NA,NA,NA,NA,NA,This is our first year of calculation,"Other, please specify: A?ßn no se presentan cambios",53.14,5253,2016,,2021-07-16T02:03:37.903
2020,60337,Prefeitura de Quissam?ú,,Brazil,Latin America,NA,public,Not intending to undertake,,City / Municipality,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,719.2,20242,2010,,2021-07-16T02:03:37.903
2020,60546,Nanjing Municipal People's Government,Nanjing,China,East Asia,NA,public,In progress,2018-01-01 - 2018-12-31,City / Municipality,Same - covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,á?Åáß?ë??Ü??ë¯?Ñ´?ë??Üç?á¨?Ü??ë??Üç?ä??ä≠?,,"CH4, CO2, HFCs, N20, PFCs, SF6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,6587.02,8500000,2019,POINT (118.797 32.0603),2021-07-16T02:03:37.903
2020,35893,City of Dar es Salaam,Dar es Salaam,United Republic of Tanzania,Africa,NA,public,In progress,2016-01-01 - 2016-12-31,City / Municipality,Larger - covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"The methodology covers all the intended measure for in boundary source (Scope 1), grid-supplier energy source (Scope 2) and the out of boundary source (Scope 3). All sectors covers by the protocol including stationary energy, transport, waste, industrial and agriculture. But intended to change the  inventories report to the format of the new Common Reporting Framework (CRF), so that we will have the common standard reporting of emissions data",,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,10989,6041000,2019,POINT (39.2083 -6.79235),2021-07-16T02:03:37.903
2020,50359,Gobierno Municipal de Le??n de los Aldamas,Le??n de los Aldamas,Mexico,Latin America,NA,public,Yes,2017-06-01 - 2018-06-01,City / Municipality,Larger - covers the whole city and adjoining areas,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Para el periodo 2017-2018 se realizar?≠ el Protocolo Global para Inventarios de Emisi??n de Gases de Efecto Invernadero a Escala comunitaria (GPC por sus siglas en ingl??s) el cual es una gu??a metodol??gica para realizar el c?≠lculo y el reporte de emisiones de GEI  a nivel regional, nacional y subnacional. Es importante recalcar que como menciona el GPC, la cuantificaci??n y el reporte justo y real de emisiones de GEI  de una ciudad o municipio est?≠n basados en cinco principios fundamentales que incluyen: la relevancia, la exhaustividad, la coherencia, la transparencia y la precisi??n. Por otra parte  para el inventario con el que se cuenta 2012-2015 (recopilaci??n de datos en 2012, se elabor?? en 2013,  y finalmente se public?? en 2015) se aplic?? la metodolog??a del IPCC 2006 y Factores de Emisi??n (FE), en los que se presentan adecuaciones puntuales en respuesta a las caracter??sticas espec??ficas de las actividades productivas en Le??n; por mencionar algunas consideraciones, adem?≠s se incluy?? la producci??n artesanal de tabique, con apego a las disposiciones estipuladas en el Programa Especial de Cambio Clim?≠tico (PECC). El c?≠lculo de GEI y el inventario aqu?? presentado, son el primer paso para el emprendimiento de una serie de estrategias que atiendan la problem?≠tica del cambio clim?≠tico en el municipio, con base en el registro de la cantidad total de GEI, su distribuci??n en cada sector y las tendencias de generaci??n de estos contaminantes por parte de los distintos sectores.  Asimismo, se a?Òade la estimaci??n de Carbono Negro (CN) para la realizaci??n del inventario municipal, por lo que fue necesario recurrir a diferentes fuentes de informaci??n oficial, con la finalidad de tener una base s??lida y ver??dica de los datos a emplear para los c?≠lculos de este cap??tulo. Igualmente se analiz?? informaci??n presentada en diferentes diagn??sticos y estudios de ?≠reas espec??ficas dentro del municipio de Le??n, como lo fueron los estudios realizados por el IMPLAN (Instituto Municipal de Planeaci??n) en las zonas del Valladito y el Refugio por loa producci??n de ladrillos que se realiza en ambas zonas.",,"CH4, CO2, HFCs, N20",0,2653478,2285593,0,0,0,NA,NA,NA,NA,NA,Decreased,Technological change,1219.67,1578626,2015,POINT (-101.684 21.1221),2021-07-16T02:03:37.903
2020,840945,Prefeitura de Santa B?≠rbara,,Brazil,Latin America,NA,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,684.1,31604,2020,,2021-07-16T02:03:37.903
2020,839967,Malargue,Malargue,Argentina,Latin America,NA,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utiliz?? la herramienta de c?≠lculo desarrollada por la Red Argentina de Municipios frente al Cambio Clim?≠tica, que fue dise?Òada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",NA,599543.59,NA,18492.12,NA,3451.1,NA,NA,NA,NA,NA,Increased,"Other, please specify",41317,32006,2018,,2021-07-16T02:03:37.903
2020,60399,Municipalidad de Miraflores,Miraflores,Peru,Latin America,NA,public,In progress,2019-01-01 - 2019-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,,"CH4, CO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,9.62,99337,2017,POINT (-71.5366 -16.3994),2021-07-16T02:03:37.903
2020,60268,Prefeitura de Brumadinho,Brumadinho,Brazil,Latin America,NA,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,639434,33973,2018,POINT (-44.1982 -20.1427),2021-07-16T02:03:37.903
2020,54282,Hangzhou City People's Government,Hangzhou City,China,East Asia,NA,public,In progress,2019-06-05 - 2020-06-05,City / Municipality,Same - covers entire city and nothing else,City specific methodology,,,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,16850,10360000,2019,,2021-07-16T02:03:37.903
2020,840927,Prefeitura de S?úo Crist??v?úo,,Brazil,Latin America,NA,public,Intending to undertake in the next 2 years,,Metropolitan area,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,438.037,78864,2019,,2021-07-16T02:03:37.903
2020,834259,Municipality of Lobos,,Argentina,Latin America,NA,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",0,470253.13,0,25747.84,0,14998.66,NA,NA,NA,NA,NA,Increased,"Other, please specify",1724.35,39239,2018,,2021-07-16T02:03:37.903
2020,54687,Prefeitura Municipal de S?úo Jos?? dos Campos,S?úo Jos?? dos Campos,Brazil,Latin America,NA,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"O presente relat??rio apresenta o invent?≠rio realizado de acordo com os requisitos do reporte BASIC+.Foram realizadas reuni?Êes para a coordena???úo da coleta de dados com atores internos e externos, sendo necess?≠rio o levantamento junto a algumas divis?Êes da Prefeitura, como para os setores de Transporte e Res??duos.O processo de coleta dos dados referentes ?ˇ Refinaria Henrique Lage (REVAP) e da unidade fabril da Monsanto, ambas localizadas dentro dos limites do munic??pio, foi realizado por meio de of??cios solicitados pela Prefeitura de S?úo Jos?? dos Campos, tendo como resposta o recebimento dos invent?≠rios de 2016 e 2017 das duas unidades industriais requisitadas.",Yes,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Do not know,Lack of documentation,1099.41,729737,2020,POINT (-45.8783 -23.1848),2021-07-16T02:03:37.903
2020,54681,Prefeitura Municipal de Ara??atuba,Ara??atuba,Brazil,Latin America,NA,public,In progress,-,City / Municipality,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1167126,195874,2019,POINT (-50.4328 -21.2089),2021-07-16T02:03:37.903
2020,842160,Balikesir Metropolitan Municipality,Balikesir,Turkey,Europe,NA,public,In progress,2018-01-01 - 2018-12-31,Local government area within a greater city / metropolitan area,Same - covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14292,1228620,2019,POINT (27.8903 39.6533),2021-07-16T02:03:37.903
2020,36254,Comune di Venezia,Venezia,Italy,Europe,NA,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",2919060,0,0,0,0,0,NA,NA,NA,NA,NA,Decreased,Improved data accuracy,416,259150,2019,POINT (12.3211 45.4333),2021-07-16T02:03:37.903
2020,68378,Municipalidad de Santiago de Surco,Santiago de Surco,Peru,Latin America,NA,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,45,499210,2015,POINT (-77.0051 -12.1453),2021-07-16T02:03:37.903
2020,50358,Gobierno Municipal de Toluca de Lerdo,,Mexico,Latin America,NA,public,Yes,2012-01-01 - 2012-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Metodolog??a IPCC 1996 acompa?Òada por el equipo t??cnico de ICLEI,Yes,"CH4, CO2, N20",218.56,411014657,NA,NA,NA,NA,NA,NA,NA,NA,NA,Do not know,,426850,900855,2017,,2021-07-16T02:03:37.903
2020,60114,City of Gdynia,Gdynia,Poland,Europe,NA,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,246348,2019,POINT (18.5305 54.5189),2021-07-16T02:03:37.903
2020,31108,City of Houston,Houston,United States of America,North America,NA,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",772360,19811156,NA,12884021,NA,587012,NA,NA,NA,NA,NA,Decreased,"Other, please specify: Decrease in stationary emissions",1737.88,2343365,2019,POINT (-95.3694 29.7602),2021-07-16T02:03:37.903
2020,826201,Ayuntamiento de Zapopan,,Mexico,Latin America,NA,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Smaller - covers only part of the city,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Referencias generales del IPCC, combinando metodolog??as de acuerdo a los distintos sectores calculados; Transporte - MOVES; Residuos - Modelo Mexicano de Biog?≠s; Energ??a - INECC.",,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1017,1332272,2015,,2021-07-16T02:03:37.903
2020,840924,Prefeitura de Alex?õnia,,Brazil,Latin America,NA,public,In progress,-,Federal district,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,847.9,20033,0,,2021-07-16T02:03:37.903
2020,60011,City of San Jose del Monte,,Philippines,Southeast Asia and Oceania,NA,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,105,692223,2020,,2021-07-16T02:03:37.903
2020,58483,City of Surrey,,Canada,North America,NA,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The City is currently in the process of determining the Community Greenhouse Gas Emission Inventories.,Yes,"CH4, CO2, N20",NA,2331227,NA,NA,NA,NA,NA,NA,NA,NA,NA,Increased,Population increase,316.41,557310,2017,,2021-07-16T02:03:37.903
2020,845131,Prefeitura de Dois Irm?úos,,Brazil,Latin America,NA,public,Not intending to undertake,,City / Municipality,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,65156,30472,2016,,2021-07-16T02:03:37.903
2020,43932,Auckland Council,Auckland,New Zealand,Southeast Asia and Oceania,NA,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Version 1 (published in 2014),Yes,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",32,8414058,NA,980465,NA,803396,NA,NA,NA,NA,NA,Increased,Increased energy/electricity consumption,4879,1618400,2018,POINT (174.742 -36.8153),2021-07-16T02:03:37.903
2020,59165,Gladsaxe Kommune,Gladsaxe,Denmark,Europe,NA,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,CO2,NA,228362,NA,72022,NA,NA,NA,NA,NA,NA,NA,Decreased,Behavioural change,24.9,69262,2019,POINT (12.4887 55.7335),2021-07-16T02:03:37.903
2020,35905,Corporation of Chennai,Chennai,India,South and West Asia,NA,public,Yes,2018-04-01 - 2019-03-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decreased,Technological change,426,7920000,2020,POINT (80.2425 13.0992),2021-07-16T02:03:37.903
2020,35864,Ekurhuleni Metropolitan Municipality,Ekurhuleni,South Africa,Africa,NA,public,Intending to undertake in the next 2 years,,Metropolitan area,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1975,3894000,2020,POINT (28.3462 -26.1777),2021-07-16T02:03:37.903
2020,69968,Alcaldia de Rionegro,Rionegro,Colombia,Latin America,NA,public,Yes,2019-01-01 - 2019-12-30,City / Municipality,Same - covers entire city and nothing else,City specific methodology,,,CO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Increased,Population increase,196,142078,2020,POINT (-75.3739 6.15316),2021-07-16T02:03:37.903
2020,60408,Municipalidad de Talca,,Chile,Latin America,NA,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,232,220357,2017,,2021-07-16T02:03:37.903
2020,826243,Alcaldia de Cartago,Cartago,Colombia,Latin America,NA,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,279000,135629,2020,POINT (-83.9194 9.86444),2021-07-16T02:03:37.903
2020,845299,San Sebasti?≠n de Mariquita,,Colombia,Latin America,NA,public,Not intending to undertake,,City / Municipality,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,379,38566,2019,,2021-07-16T02:03:37.903
2020,59151,City of Akureyri,Akureyri,Iceland,Europe,NA,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Using CIRIS,Yes,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",NA,140713,NA,5462,NA,12535,NA,NA,NA,NA,NA,Decreased,Technological change,136,19025,2019,POINT (-18.1262 65.6885),2021-07-16T02:03:37.903
2020,840039,Arequito,,Argentina,Latin America,NA,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",NA,12128.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,481.22,6836,2010,,2021-07-16T02:03:37.903
2020,31184,Prefeitura de S?úo Paulo,S?úo Paulo,Brazil,Latin America,NA,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,12989951,2533064,607946,16130962,NA,,,1521.11,11253503,2017,POINT (-46.7382 -23.5595),2021-07-16T02:03:37.903
2020,50398,Ciudad de Ju?≠rez,Ju?≠rez,Mexico,Latin America,NA,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,188,1391180,2015,POINT (-106.425 31.6904),2021-07-16T02:03:37.903
2020,59669,City of North Vancouver,North Vancouver,Canada,North America,NA,public,Yes,2015-01-01 - 2015-12-31,City / Municipality,Same - covers entire city and nothing else,"Other, please specify: ICLEI Partners for Climate Protection",Canadian Supplement to the International Emissions Analysis Protocol.,,"CH4, CO2",NA,205886,NA,4159,NA,1929,NA,NA,NA,NA,NA,Stayed the same,Emissions have not changed,11.8,52898,2016,POINT (-123.072 49.32),2021-07-16T02:03:37.903
2020,51075,City of Shenzhen,Shenzhen,China,East Asia,NA,public,In progress,2016-01-01 - 2018-12-31,Independent city,Same - covers entire city and nothing else,,,,CO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1997.47,13026600,2018,POINT (113.813 22.9175),2021-07-16T02:03:37.903
2020,55800,City of Cambridge,"Cambridge, MA",United States of America,North America,NA,public,Yes,2012-01-01 - 2012-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",194907,671622,NA,455838,NA,139870,NA,NA,NA,NA,NA,This is our first year of calculation,,16.65,109694,2014,POINT (-93.3273 45.601),2021-07-16T02:03:37.903
2020,834251,Municipality of Coronel Dominguez,,Argentina,Latin America,NA,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utiliz?? la herramienta de c?≠lculo desarrollada por la Red Argentina de Municipios frente al Cambio Clim?≠tica, que fue dise?Òada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",0,2766.17,0,384.71,0,59.01,NA,NA,NA,NA,NA,Increased,Change in available data,50500,1231,2018,,2021-07-16T02:03:37.903
2020,55324,Munic??pio de Guimar?úes,Guimar?úes,Portugal,Europe,NA,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same - covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,A metodologia de c?≠lculo de emiss?Êes de CO2 ?? baseada nos princ??pios do IPCC. Os dados apresentados s?úo determinados aplicando fatores de emiss?úo aos dados resultantes do invent?≠rio de energia. O consumo de energia ?? calculado usando um modelo matem?≠tico baseado no consumo de energia local e vari?≠veis macroecon??micas e demogr?≠ficas.,,"CH4, CO2, N20",110200,511045,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decreased,Policy change,240.95,152792,2018,POINT (-8.29224 41.4443),2021-07-16T02:03:37.903
2020,50364,Municipalidad de La Paz,La Paz (Bolivia),Bolivia (Plurinational State of),Latin America,NA,public,Not intending to undertake,,City / Municipality,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,472,798,2017,POINT (-68.15 -16.5),2021-07-16T02:03:37.903
2020,49362,Ulaanbaatar City,Ulaanbaatar City,Mongolia,East Asia,NA,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,4704,1539810,2020,,2021-07-16T02:03:37.903
2020,31052,City of Cardiff,Cardiff,United Kingdom of Great Britain and Northern Ireland,Europe,NA,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same - covers entire city and nothing else,Regional or country specific methodology,"BEIS (Business, Energy and Industrial Strategy) government department local authority CO2 emissions data",,CO2,1563628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decreased,Technological change,140,367000,2019,POINT (-3.17909 51.4816),2021-07-16T02:03:37.903
2020,43907,City of Indianapolis,Indianapolis,United States of America,North America,NA,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"The Indianapolis community greenhouse gas (GHG) inventory was prepared following the Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC)1. This Protocol has been adopted by communities around the Globe to ensure that each report that adheres to its principles is relevant, complete, consistent, transparent and accurate. This report uses the GPC city-induced Basic reporting level approach and provides an inventory of the GHGs released inside the Indianapolis geographic boundary during the years of 2010, 2013 and 2016.É?ùSource: City of Indianapolis and Marion County Greenhouse Gas Emissions Inventory Report for 2010, 2013, and 2016 (p. 4)",Yes,"CH4, CO2, HFCs, N20, PFCs, SF6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decreased,Technological change,936.09,872680,2019,POINT (-86.1785 39.7676),2021-07-16T02:03:37.903
2020,35755,Village of Kadiovacik,Urla,Turkey,Europe,NA,public,Yes,2019-01-01 - 2019-12-30,Local government area within a greater city / metropolitan area,Same - covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Purchased electricity tool; stationary combustion tool; mobile transport tool has been used for the calculations,,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,867,183,0,NA,NA,Increased,Change in weather conditions,60,240,2019,POINT (26.5536 38.3434),2021-07-16T02:03:37.903
2020,35894,Ville de Montreal,Montr??al,Canada,North America,NA,public,Yes,2015-01-01 - 2015-12-31,Metropolitan area,Larger - covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",NA,NA,NA,NA,NA,NA,10793696,43927,296487,10223546,11134110,Stayed the same,Emissions have not changed,500,2029379,2018,POINT (-73.554 45.5087),2021-07-16T02:03:37.903
2020,58530,"City of Northampton, MA",Northampton,United States of America,North America,NA,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,CO2,NA,NA,NA,NA,NA,NA,NA,328180,NA,NA,NA,This is our first year of calculation,,92.6,28549,2010,POINT (-72.6144 42.3048),2021-07-16T02:03:37.903
2020,848971,Balcarce,,Argentina,Latin America,NA,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utiliz?? la herramienta de c?≠lculo desarrollada por la Red Argentina de Municipios frente al Cambio Clim?≠tica, que fue dise?Òada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",NA,791494.47,NA,25406.95,NA,4626.71,NA,NA,NA,NA,NA,This is our first year of calculation,"Other, please specify",4121,45408,2018,,2021-07-16T02:03:37.903
2020,848404,Mongui,,Colombia,Latin America,NA,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,4313.75,38547.4,5211.04,306.75,33029.61,This is our first year of calculation,,81,4243,2020,,2021-07-16T02:03:37.903
2020,50782,Dhaka City,Dhaka,Bangladesh,South and West Asia,NA,public,In progress,-,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,109.25,8000000,2020,POINT (90.4125 23.8103),2021-07-16T02:03:37.903
2020,841490,Penampang District Council,,Malaysia,Southeast Asia and Oceania,NA,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",NA,348138,NA,107278,NA,NA,NA,NA,NA,NA,NA,This is our first year of calculation,,424.73,145630,2017,,2021-07-16T02:03:37.903
2020,848927,Ville de Maroua,,Cameroon,Africa,NA,public,Not intending to undertake,,City / Municipality,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,3.00E+06,700000,2020,,2021-07-16T02:03:37.903
2020,50394,Prefeitura Municipal de Jo?úo Pessoa,Jo?úo Pessoa,Brazil,Latin America,NA,public,Yes,2014-01-01 - 2014-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),O invent?≠rio adotou a metodologia GPC com orienta???úo e supervis?úo do ICLEI Am??rica do Sul,No,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,2309846,194421,333232,1550999,0,This is our first year of calculation,,211.286,723515,2010,POINT (-34.8639 -7.16882),2021-07-16T02:03:37.903
2020,13113,Newcastle City Council,Newcastle upon Tyne,United Kingdom of Great Britain and Northern Ireland,Europe,NA,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",948.02,1117478.06,0,420600.09,174.93,321065.09,NA,NA,NA,NA,NA,This is our first year of calculation,,115,300196,2018,,2021-07-16T02:03:37.903
2020,43940,Malm?? Stad,Malm??,Sweden,Europe,NA,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same - covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",1927,769628,14219,172296,NA,NA,NA,NA,NA,NA,NA,Increased,"Other, please specify: Increase in use of domestic heating oil",156.6,344166,2019,POINT (13.0038 55.605),2021-07-16T02:03:37.903
